miRNA	Precursor	63aNF	65NF	53TF	63bTF	59TF	64NF	46TF	50NF	55TF	44TF	57NF	55NF	53NF	50TF	64TF	39TF	59NF	63aTF	39NF	63bNF	46NF	65TF	44NF	57TF
hsa-miR-24-2-5p	hsa-mir-24-2	79	168	173	260	239	256	61	122	399	195	219	127	104	293	346	467	137	23	142	105	78	486	62	1089
hsa-miR-2467-5p	hsa-mir-2467	3	20	5	23	12	12	0	5	51	15	19	10	22	20	14	17	25	0	7	14	11	41	0	63
hsa-miR-2467-3p	hsa-mir-2467	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-25-5p	hsa-mir-25	10	10	21	26	18	6	8	10	31	25	27	10	9	19	17	31	7	1	12	7	7	15	9	42
hsa-miR-25-3p	hsa-mir-25	3937	10164	6082	10996	7588	13606	1627	6959	15866	7335	12179	8170	9506	10041	18625	9616	11126	538	8602	4807	4432	26535	3027	33295
hsa-miR-2681-5p	hsa-mir-2681	0	0	0	9	0	0	1	1	1	3	1	2	1	0	0	0	0	0	0	1	0	4	0	0
hsa-miR-2681-3p	hsa-mir-2681	0	2	0	4	0	3	0	2	1	1	0	0	0	1	0	0	1	0	2	0	0	3	0	1
hsa-miR-2682-5p	hsa-mir-2682	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-2682-3p	hsa-mir-2682	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-26a-5p	hsa-mir-26a-1	216566	342091	143086	347129	261623	506446	97548	244440	272338	243911	613284	446029	476966	304821	197713	364938	467133	23776	422911	305308	309953	319657	173170	847159
hsa-miR-26a-1-3p	hsa-mir-26a-1	3	16	2	13	3	12	0	11	3	4	59	18	22	5	5	3	22	0	21	10	6	9	3	33
hsa-miR-26a-5p	hsa-mir-26a-2	216595	342143	143130	347203	261698	506568	97575	244501	272464	244004	613452	446132	477093	304923	197782	365018	467225	23782	423006	305399	310027	319738	173215	847406
hsa-miR-26a-2-3p	hsa-mir-26a-2	10	55	5	43	22	75	4	54	22	19	124	52	59	22	25	30	75	3	45	42	25	33	12	153
hsa-miR-26b-5p	hsa-mir-26b	32387	83971	17151	58191	37624	75257	9852	57522	55269	52677	110424	65786	77948	61033	37672	79825	91811	3092	73692	53922	51695	90188	18924	193749
hsa-miR-26b-3p	hsa-mir-26b	165	304	104	328	198	302	56	263	259	251	485	350	335	293	171	300	377	13	356	322	213	339	88	848
hsa-miR-27a-5p	hsa-mir-27a	93	115	28	67	41	39	21	18	49	24	107	30	50	32	79	26	27	23	38	112	22	57	8	380
hsa-miR-27a-3p	hsa-mir-27a	5659	14171	8786	19861	14408	17586	4143	10563	24751	13303	18388	13140	9680	27097	27372	36479	14286	1282	11505	8566	6794	52561	3578	77933
hsa-miR-27b-5p	hsa-mir-27b	288	375	250	386	510	581	85	371	261	298	700	566	450	303	197	760	423	27	428	348	313	241	258	1446
hsa-miR-27b-3p	hsa-mir-27b	124476	247733	85638	357029	219267	292783	37012	198394	183908	172906	376850	262230	249170	259203	114755	559762	289900	10667	199313	197645	178992	285836	67354	964073
hsa-miR-28-5p	hsa-mir-28	1233	2318	2171	4323	4174	2457	931	2022	4851	3571	3550	2528	2961	4064	3514	5980	3443	196	2605	2141	1954	4436	833	8394
hsa-miR-28-3p	hsa-mir-28	10181	19484	18716	33402	30638	19698	6487	15482	42510	24256	25207	19949	22491	31687	27693	34701	23308	1509	17930	16311	13169	46001	7711	60340
hsa-miR-2861	hsa-mir-2861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2909	hsa-mir-2909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-296-5p	hsa-mir-296	7	24	10	23	13	25	1	17	132	62	32	22	23	0	49	8	46	3	21	10	5	77	9	6
hsa-miR-296-3p	hsa-mir-296	5	7	4	6	3	8	3	4	26	16	4	10	12	0	5	2	9	1	3	2	1	20	2	0
hsa-miR-297	hsa-mir-297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-298	hsa-mir-298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-299-5p	hsa-mir-299	0	8	0	0	4	9	1	8	1	1	16	3	10	1	2	6	20	0	6	2	3	9	2	9
hsa-miR-299-3p	hsa-mir-299	16	43	9	7	14	28	3	12	5	6	38	25	42	2	8	19	38	3	31	20	10	66	4	25
hsa-miR-29a-5p	hsa-mir-29a	31	116	11	37	29	88	4	97	53	31	131	59	104	58	20	79	132	3	118	54	36	107	28	165
hsa-miR-29a-3p	hsa-mir-29a	9405	27350	3692	16678	10068	21240	2463	20266	16798	10205	31302	18915	20009	15769	13124	21070	25358	799	16644	10452	12901	43795	4662	44437
hsa-miR-29b-1-5p	hsa-mir-29b-1	11	15	7	13	9	17	1	26	15	5	42	16	12	13	12	10	30	0	27	13	25	18	6	35
hsa-miR-29b-3p	hsa-mir-29b-1	1403	7251	206	1547	787	2140	128	3254	1729	998	6105	2155	3666	1372	1834	1682	6279	57	2782	1636	2508	4855	348	4892
hsa-miR-29b-3p	hsa-mir-29b-2	1421	7332	208	1557	795	2154	128	3279	1746	1006	6154	2174	3692	1377	1839	1697	6338	57	2810	1648	2536	4901	350	4934
hsa-miR-29b-2-5p	hsa-mir-29b-2	52	96	11	59	32	60	0	84	75	69	141	70	140	52	56	59	179	3	167	74	76	43	20	218
hsa-miR-29c-5p	hsa-mir-29c	332	1824	38	307	135	401	21	739	469	233	1498	528	1101	277	200	349	1408	11	920	472	702	480	91	1341
hsa-miR-29c-3p	hsa-mir-29c	5075	14898	1308	6678	3879	6139	785	8162	8278	6370	16553	8106	10348	7010	5829	7486	14367	324	8130	5780	7940	9874	1401	25645
hsa-miR-300	hsa-mir-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-301a-5p	hsa-mir-301a	3	2	2	6	5	6	0	1	14	2	7	6	3	3	1	7	4	0	2	5	3	9	0	29
hsa-miR-301a-3p	hsa-mir-301a	934	2134	704	2470	1481	2402	243	1296	2764	1086	3062	1635	2096	1821	1853	2198	3092	122	2149	1417	1192	3322	658	7951
hsa-miR-301b-5p	hsa-mir-301b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-301b-3p	hsa-mir-301b	39	68	39	158	92	87	17	56	184	137	71	34	63	148	142	184	147	11	74	38	33	398	13	374
hsa-miR-302a-5p	hsa-mir-302a	0	0	0	0	0	0	0	2	0	0	1	4	2	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-302a-3p	hsa-mir-302a	0	2	0	0	1	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	2	0	0	0
hsa-miR-302b-5p	hsa-mir-302b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302b-3p	hsa-mir-302b	0	3	0	0	0	2	0	2	0	0	1	5	2	0	0	0	2	0	1	0	0	0	0	0
hsa-miR-302c-5p	hsa-mir-302c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302c-3p	hsa-mir-302c	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302d-5p	hsa-mir-302d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302d-3p	hsa-mir-302d	3	1	0	0	0	4	0	0	0	0	2	1	5	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-302e	hsa-mir-302e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302f	hsa-mir-302f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3064-5p	hsa-mir-3064	2	2	0	1	1	3	0	3	3	2	4	1	4	4	4	1	2	0	1	3	0	0	0	8
hsa-miR-3064-3p	hsa-mir-3064	0	1	0	0	0	1	0	0	0	1	1	1	2	1	1	1	1	0	4	2	0	3	0	5
hsa-miR-3065-5p	hsa-mir-3065	30	92	3	112	7	25	2	37	11	10	112	40	109	3	5	48	127	0	68	43	43	16	12	15
hsa-miR-3065-3p	hsa-mir-3065	51	123	5	171	7	31	1	48	23	17	125	62	169	5	5	68	180	0	69	81	74	18	20	15
hsa-miR-3074-5p	hsa-mir-3074	1	9	3	15	2	7	0	12	7	9	20	12	17	9	7	9	12	0	8	6	4	4	1	39
hsa-miR-3074-3p	hsa-mir-3074	3	8	2	8	0	3	1	6	5	3	8	6	8	8	0	2	5	0	4	1	4	1	0	10
hsa-miR-30a-5p	hsa-mir-30a	336692	1008875	95482	372868	248822	858052	31194	502837	169219	275312	1606752	816664	1129487	454015	163625	522266	1068839	11040	842322	646625	552338	509444	190339	1246946
hsa-miR-30a-3p	hsa-mir-30a	14048	40833	3427	10545	8770	39891	1195	27777	4893	10448	60894	33393	43066	14086	3505	15716	44285	449	36449	27075	22312	17479	10414	42314
hsa-miR-30b-5p	hsa-mir-30b	9138	28647	3918	12973	8239	22315	1677	11150	13027	9431	63030	27425	52076	10373	6058	16022	44477	452	34763	21596	18830	13667	5481	40562
hsa-miR-30b-3p	hsa-mir-30b	14	27	10	17	14	37	1	50	6	9	124	52	90	18	6	12	83	1	72	57	32	5	15	78
hsa-miR-30c-5p	hsa-mir-30c-1	28626	53088	13802	37499	27826	74381	4806	41960	24328	31177	130406	72116	103295	39459	13536	51133	90503	1561	88881	67989	53640	30066	25562	96409
hsa-miR-30c-1-3p	hsa-mir-30c-1	95	154	47	88	72	175	34	125	71	70	301	220	195	65	42	83	193	7	185	138	177	42	67	264
hsa-miR-30c-5p	hsa-mir-30c-2	28631	53100	13804	37510	27829	74393	4807	41968	24342	31184	130435	72144	103321	39470	13539	51145	90524	1563	88900	68009	53660	30073	25568	96430
hsa-miR-30c-2-3p	hsa-mir-30c-2	1190	2380	396	826	851	2454	150	1532	374	1017	4506	2692	3571	1205	273	1378	2907	22	2978	2169	1800	930	923	2955
hsa-miR-30d-5p	hsa-mir-30d	47955	135938	28072	82799	48002	112892	10392	69260	78911	53932	194706	116251	172432	64077	42761	87258	138503	2899	128126	89793	96137	88596	33481	221743
hsa-miR-30d-3p	hsa-mir-30d	426	1111	125	633	323	919	56	548	449	349	1824	974	1018	414	223	517	1169	20	740	808	646	734	172	2535
hsa-miR-30e-5p	hsa-mir-30e	22946	61774	13242	47922	28638	53792	5503	22133	39449	27460	92813	48145	67880	33400	25475	51997	61739	1951	54143	37172	37540	51335	14616	83491
hsa-miR-30e-3p	hsa-mir-30e	2306	7777	1139	3350	2777	7402	515	4575	2586	2278	10098	6108	6740	2975	1567	3996	7488	197	5630	3949	3793	5079	1967	8413
hsa-miR-31-5p	hsa-mir-31	526	832	920	139	326	2331	141	694	2320	2234	1284	1080	470	141	73	89	1467	168	1075	251	319	96	1008	373
hsa-miR-31-3p	hsa-mir-31	19	38	6	3	5	57	3	26	35	30	58	20	39	2	1	2	108	2	40	5	7	5	8	10
hsa-miR-3115	hsa-mir-3115	0	0	0	1	0	0	0	1	0	0	2	1	1	0	0	0	2	0	1	1	0	1	0	1
hsa-miR-3116	hsa-mir-3116-1	2	3	0	12	3	1	0	2	2	6	4	3	3	4	2	14	5	0	8	2	4	7	1	13
hsa-miR-3116	hsa-mir-3116-2	2	3	0	12	3	1	0	2	2	6	4	3	3	4	2	14	5	0	8	2	4	7	1	13
hsa-miR-3117-5p	hsa-mir-3117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3117-3p	hsa-mir-3117	12	37	17	3	20	67	8	18	27	30	94	32	38	6	26	33	24	2	47	10	13	62	17	49
hsa-miR-3118	hsa-mir-3118-1	1	0	0	0	3	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	15	0	0
hsa-miR-3118	hsa-mir-3118-2	1	0	0	0	3	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	15	0	0
hsa-miR-3118	hsa-mir-3118-3	1	0	0	0	3	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	15	0	0
hsa-miR-3118	hsa-mir-3118-4	1	0	0	0	3	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	15	0	0
hsa-miR-3119	hsa-mir-3119-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3119	hsa-mir-3119-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3120-5p	hsa-mir-3120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-3120-3p	hsa-mir-3120	0	0	0	1	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-3121-5p	hsa-mir-3121	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3121-3p	hsa-mir-3121	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	1	0	2
hsa-miR-3122	hsa-mir-3122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3123	hsa-mir-3123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3124-5p	hsa-mir-3124	0	1	2	3	1	1	0	2	0	0	1	1	2	1	1	2	0	0	3	0	2	0	0	2
hsa-miR-3124-3p	hsa-mir-3124	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-3125	hsa-mir-3125	0	2	2	0	3	0	0	1	0	2	5	0	1	4	0	0	1	0	0	0	1	2	0	3
hsa-miR-3126-5p	hsa-mir-3126	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
hsa-miR-3126-3p	hsa-mir-3126	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3127-5p	hsa-mir-3127	4	3	2	8	4	6	0	8	6	6	1	2	9	3	0	6	7	0	5	1	2	9	3	15
hsa-miR-3127-3p	hsa-mir-3127	0	1	0	1	0	0	1	0	1	3	0	0	0	1	0	0	1	0	0	1	1	0	1	3
hsa-miR-3128	hsa-mir-3128	2	2	2	0	0	1	0	0	0	1	0	2	0	1	1	1	1	1	0	0	0	5	0	0
hsa-miR-3129-5p	hsa-mir-3129	0	2	0	0	0	0	0	0	2	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1
hsa-miR-3129-3p	hsa-mir-3129	2	4	3	5	2	6	1	6	5	2	3	3	0	7	9	11	2	0	5	2	3	7	1	15
hsa-miR-3130-5p	hsa-mir-3130-1	0	2	0	2	3	0	0	1	2	3	3	1	2	2	2	6	2	0	1	3	0	6	1	9
hsa-miR-3130-3p	hsa-mir-3130-1	3	0	0	4	0	0	0	0	0	0	1	3	0	5	1	3	0	0	1	0	1	2	1	4
hsa-miR-3130-5p	hsa-mir-3130-2	0	2	0	2	3	1	0	1	1	3	3	1	3	2	2	7	2	0	2	3	0	7	1	10
hsa-miR-3130-3p	hsa-mir-3130-2	3	0	0	4	0	0	0	0	0	0	1	3	0	5	1	3	0	0	1	0	1	2	1	4
hsa-miR-3131	hsa-mir-3131	1	4	0	2	0	2	0	0	2	5	2	2	1	1	0	3	4	0	1	1	0	1	2	5
hsa-miR-3132	hsa-mir-3132	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3133	hsa-mir-3133	0	1	0	1	0	2	1	2	1	2	2	2	1	1	1	1	3	0	2	0	1	4	0	6
hsa-miR-3134	hsa-mir-3134	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3135a	hsa-mir-3135a	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
hsa-miR-3135b	hsa-mir-3135b	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3136-5p	hsa-mir-3136	1	2	0	2	1	1	0	0	2	0	3	0	2	2	2	2	2	0	3	0	0	5	0	2
hsa-miR-3136-3p	hsa-mir-3136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3137	hsa-mir-3137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3138	hsa-mir-3138	1	0	0	1	0	1	0	0	2	1	0	0	0	0	1	0	2	0	1	1	0	0	2	0
hsa-miR-3139	hsa-mir-3139	0	3	1	2	2	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	4
hsa-miR-3140-5p	hsa-mir-3140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3140-3p	hsa-mir-3140	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3141	hsa-mir-3141	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3142	hsa-mir-3142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3142	hsa-mir-3142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3143	hsa-mir-3143	1	0	1	2	1	0	0	0	0	0	2	0	0	0	4	1	1	0	0	1	0	1	0	1
hsa-miR-3144-5p	hsa-mir-3144	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2
hsa-miR-3144-3p	hsa-mir-3144	0	0	0	0	0	4	0	1	2	0	3	2	1	0	0	1	1	0	0	1	0	0	2	2
hsa-miR-3145-5p	hsa-mir-3145	2	1	0	0	1	1	0	0	1	1	5	1	3	0	0	2	2	0	2	1	0	2	1	7
hsa-miR-3145-3p	hsa-mir-3145	1	5	4	7	2	0	0	6	4	2	4	2	4	1	2	1	6	0	1	2	2	1	1	14
hsa-miR-3146	hsa-mir-3146	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-3147	hsa-mir-3147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3148	hsa-mir-3148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3149	hsa-mir-3149	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	2	3	0	0	0	0	0	0	0
hsa-miR-3150a-5p	hsa-mir-3150a	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2
hsa-miR-3150a-3p	hsa-mir-3150a	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150b-5p	hsa-mir-3150b	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150b-3p	hsa-mir-3150b	0	2	1	0	1	0	1	1	1	0	3	1	2	0	2	3	0	0	2	0	0	2	2	0
hsa-miR-3151-5p	hsa-mir-3151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3151-3p	hsa-mir-3151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3152-5p	hsa-mir-3152	2	1	4	0	4	5	4	7	2	3	2	0	2	2	0	0	1	0	0	5	2	1	2	1
hsa-miR-3152-3p	hsa-mir-3152	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3153	hsa-mir-3153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3154	hsa-mir-3154	0	1	0	0	1	2	0	0	0	0	2	2	0	0	0	0	2	0	2	0	0	0	2	0
hsa-miR-3155a	hsa-mir-3155a	1	0	1	4	0	0	0	0	2	2	0	0	0	0	1	2	0	0	0	0	0	4	0	2
hsa-miR-3155b	hsa-mir-3155a	1	0	1	4	0	0	0	0	2	2	0	0	0	0	1	2	0	0	0	0	0	4	0	2
hsa-miR-3155b	hsa-mir-3155b	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-5p	hsa-mir-3156-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-3p	hsa-mir-3156-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-5p	hsa-mir-3156-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-3p	hsa-mir-3156-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-5p	hsa-mir-3156-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3157-5p	hsa-mir-3157	1	0	0	3	0	1	0	2	1	1	5	1	5	1	0	10	2	0	7	4	2	2	2	5
hsa-miR-3157-3p	hsa-mir-3157	0	3	3	8	3	4	0	0	0	1	6	4	9	11	3	9	2	0	5	7	3	8	2	14
hsa-miR-3158-5p	hsa-mir-3158-1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	1
hsa-miR-3158-3p	hsa-mir-3158-1	5	20	21	61	51	29	10	8	46	56	26	35	8	75	84	48	22	1	7	9	8	65	14	81
hsa-miR-3158-5p	hsa-mir-3158-2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
hsa-miR-3158-3p	hsa-mir-3158-2	5	20	21	61	51	29	10	8	46	56	26	35	8	75	84	48	22	1	7	9	8	65	14	81
hsa-miR-3159	hsa-mir-3159	0	1	0	2	0	1	0	1	1	2	0	2	0	1	4	1	3	0	3	0	1	2	0	8
hsa-miR-3160-5p	hsa-mir-3160-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3160-3p	hsa-mir-3160-1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	2	2	0	0	0	0	0	0	2
hsa-miR-3160-5p	hsa-mir-3160-2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3160-3p	hsa-mir-3160-2	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	2	2	0	0	0	0	0	0	2
hsa-miR-3161	hsa-mir-3161	2	2	0	0	0	0	0	3	2	0	0	4	6	2	0	7	0	0	2	0	0	1	0	0
hsa-miR-3162-5p	hsa-mir-3162	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3162-3p	hsa-mir-3162	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-3163	hsa-mir-3163	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-3164	hsa-mir-3164	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-3165	hsa-mir-3165	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-3166	hsa-mir-3166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1
hsa-miR-3167	hsa-mir-3167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3168	hsa-mir-3168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3169	hsa-mir-3169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3170	hsa-mir-3170	0	1	2	1	2	2	1	0	2	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1
hsa-miR-3171	hsa-mir-3171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3173-5p	hsa-mir-3173	2	3	4	5	1	4	4	1	6	5	3	6	4	5	5	11	4	0	1	0	2	7	5	4
hsa-miR-3173-3p	hsa-mir-3173	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1
hsa-miR-3174	hsa-mir-3174	0	2	3	3	2	0	2	1	6	4	0	1	0	2	5	5	4	0	1	0	0	12	0	2
hsa-miR-3175	hsa-mir-3175	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3176	hsa-mir-3176	4	16	8	45	14	12	0	11	71	8	10	9	12	23	29	22	16	0	6	14	3	22	2	69
hsa-miR-3177-5p	hsa-mir-3177	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-3177-3p	hsa-mir-3177	1	3	4	5	0	2	1	2	9	2	1	2	1	2	2	5	0	1	0	1	2	3	2	4
hsa-miR-3178	hsa-mir-3178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3179	hsa-mir-3179-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3179	hsa-mir-3179-2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3179	hsa-mir-3179-3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3179	hsa-mir-3179-4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3180-5p	hsa-mir-3180-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
hsa-miR-3180-3p	hsa-mir-3180-1	0	0	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	1
hsa-miR-3180	hsa-mir-3180-1	0	0	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	1
hsa-miR-3180-5p	hsa-mir-3180-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
hsa-miR-3180-3p	hsa-mir-3180-2	0	0	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	1
hsa-miR-3180	hsa-mir-3180-2	0	0	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	1
hsa-miR-3180-5p	hsa-mir-3180-3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
hsa-miR-3180-3p	hsa-mir-3180-3	0	0	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	1
