Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),grouping,Instrument,LibraryLayout,LibrarySelection,LibrarySource,molecule_subtype,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue_sample_type
SRR14819360,miRNA-Seq,50,38017300,PRJNA737991,SAMN19714024,14554099,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149966,GSM5385680,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385680,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819361,miRNA-Seq,50,38122850,PRJNA737991,SAMN19714024,14527126,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149966,GSM5385680,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385680,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819362,miRNA-Seq,50,96139800,PRJNA737991,SAMN19714023,37279054,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149967,GSM5385681,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385681,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819363,miRNA-Seq,50,94614600,PRJNA737991,SAMN19714023,36702972,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149967,GSM5385681,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385681,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819364,miRNA-Seq,50,94577950,PRJNA737991,SAMN19714023,36545781,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149967,GSM5385681,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385681,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819365,miRNA-Seq,50,94623100,PRJNA737991,SAMN19714023,36416497,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149967,GSM5385681,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385681,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819366,miRNA-Seq,50,70291900,PRJNA737991,SAMN19714022,27628620,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149968,GSM5385682,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385682,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819367,miRNA-Seq,50,67865750,PRJNA737991,SAMN19714022,26665394,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149968,GSM5385682,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385682,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819368,miRNA-Seq,50,68129350,PRJNA737991,SAMN19714022,26722464,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149968,GSM5385682,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385682,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819369,miRNA-Seq,50,68216750,PRJNA737991,SAMN19714022,26632468,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149968,GSM5385682,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385682,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819370,miRNA-Seq,50,43992600,PRJNA737991,SAMN19714021,17523939,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149969,GSM5385683,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385683,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819371,miRNA-Seq,50,43547750,PRJNA737991,SAMN19714021,17350048,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149969,GSM5385683,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385683,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819372,miRNA-Seq,50,43564100,PRJNA737991,SAMN19714021,17307843,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149969,GSM5385683,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385683,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819373,miRNA-Seq,50,43558050,PRJNA737991,SAMN19714021,17240850,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149969,GSM5385683,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385683,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819374,miRNA-Seq,50,35077900,PRJNA737991,SAMN19714020,13628214,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149970,GSM5385684,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385684,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819375,miRNA-Seq,50,34330950,PRJNA737991,SAMN19714020,13323538,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149970,GSM5385684,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385684,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819376,miRNA-Seq,50,34390350,PRJNA737991,SAMN19714020,13311243,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149970,GSM5385684,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385684,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819377,miRNA-Seq,50,34544300,PRJNA737991,SAMN19714020,13303407,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149970,GSM5385684,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385684,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819378,miRNA-Seq,50,50002350,PRJNA737991,SAMN19714019,19649071,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149876,GSM5385685,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385685,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819379,miRNA-Seq,50,48896250,PRJNA737991,SAMN19714019,19252394,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149876,GSM5385685,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385685,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819380,miRNA-Seq,50,48957300,PRJNA737991,SAMN19714019,19225205,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149876,GSM5385685,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385685,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819381,miRNA-Seq,50,49064600,PRJNA737991,SAMN19714019,19171038,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149876,GSM5385685,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385685,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819382,miRNA-Seq,50,86038900,PRJNA737991,SAMN19713648,33647714,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149877,GSM5385686,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385686,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819383,miRNA-Seq,50,84773850,PRJNA737991,SAMN19713648,33142222,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149877,GSM5385686,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385686,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819384,miRNA-Seq,50,84593600,PRJNA737991,SAMN19713648,33004800,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149877,GSM5385686,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385686,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819385,miRNA-Seq,50,84991200,PRJNA737991,SAMN19713648,33014846,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149877,GSM5385686,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385686,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819386,miRNA-Seq,50,39854900,PRJNA737991,SAMN19713673,15440769,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149878,GSM5385687,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385687,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819387,miRNA-Seq,50,39664650,PRJNA737991,SAMN19713673,15344174,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149878,GSM5385687,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385687,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819388,miRNA-Seq,50,39640950,PRJNA737991,SAMN19713673,15298013,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149878,GSM5385687,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385687,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819389,miRNA-Seq,50,39697800,PRJNA737991,SAMN19713673,15253336,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149878,GSM5385687,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385687,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819390,miRNA-Seq,50,49337900,PRJNA737991,SAMN19713672,19359877,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149879,GSM5385688,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385688,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819391,miRNA-Seq,50,48715200,PRJNA737991,SAMN19713672,19125559,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149879,GSM5385688,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385688,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819392,miRNA-Seq,50,48710800,PRJNA737991,SAMN19713672,19064893,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149879,GSM5385688,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385688,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819393,miRNA-Seq,50,48796850,PRJNA737991,SAMN19713672,19030816,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149879,GSM5385688,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385688,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819394,miRNA-Seq,50,40394900,PRJNA737991,SAMN19713671,15233931,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149880,GSM5385689,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385689,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819395,miRNA-Seq,50,40143150,PRJNA737991,SAMN19713671,15118181,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149880,GSM5385689,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385689,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819396,miRNA-Seq,50,40220200,PRJNA737991,SAMN19713671,15085563,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149880,GSM5385689,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385689,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819397,miRNA-Seq,50,40252900,PRJNA737991,SAMN19713671,15051429,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149880,GSM5385689,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385689,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819398,miRNA-Seq,50,44326950,PRJNA737991,SAMN19713670,17387769,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149881,GSM5385690,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385690,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819399,miRNA-Seq,50,43128650,PRJNA737991,SAMN19713670,16921321,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149881,GSM5385690,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385690,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819400,miRNA-Seq,50,43230450,PRJNA737991,SAMN19713670,16908508,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149881,GSM5385690,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385690,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819401,miRNA-Seq,50,43238600,PRJNA737991,SAMN19713670,16846253,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149881,GSM5385690,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385690,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819402,miRNA-Seq,50,73742000,PRJNA737991,SAMN19713668,29046993,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149882,GSM5385691,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385691,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819403,miRNA-Seq,50,71967450,PRJNA737991,SAMN19713668,28317371,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149882,GSM5385691,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385691,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819404,miRNA-Seq,50,72811750,PRJNA737991,SAMN19713668,28564628,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149882,GSM5385691,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385691,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819405,miRNA-Seq,50,72727950,PRJNA737991,SAMN19713668,28437239,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149882,GSM5385691,Mild,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385691,EDTA Platelet Depleted Plasma_Mild,SRP324141,EDTA Platelet Depleted Plasma
SRR14819406,miRNA-Seq,50,72584400,PRJNA737991,SAMN19713667,29497165,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149883,GSM5385692,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385692,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819407,miRNA-Seq,50,71862550,PRJNA737991,SAMN19713667,29170338,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149883,GSM5385692,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385692,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819408,miRNA-Seq,50,72127700,PRJNA737991,SAMN19713667,29191501,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149883,GSM5385692,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385692,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
SRR14819409,miRNA-Seq,50,72072500,PRJNA737991,SAMN19713667,29111548,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149883,GSM5385692,Moderate,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385692,EDTA Platelet Depleted Plasma_Moderate,SRP324141,EDTA Platelet Depleted Plasma
